C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.01,0.46,1.09,0.021,0.001,17.4,11.5,2.88,0.105,0,0.02,0,3.18,100,12,4.23,4,0.9
0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0.02,0,3.18,100,12,4.23,4,3.7
0.012,0.46,1.54,0.027,0.023,16.28,10.15,2.06,0.098,0,0.02,0,3.18,100,12,4.23,4,1.5
0.018,0.51,1.37,0.021,0.009,16.95,11.25,2.23,0.097,0,0.02,0,3.18,100,12,4.23,4,2.4
0.02,0.48,1.39,0.025,0.015,17.27,11.51,2.2,0.083,0,0.02,0,3.18,100,12,4.23,4,2.4
0.01,0.52,1.75,0.019,0.001,17.25,12.9,2.56,0.101,0,0.02,0,3.18,100,12,4.23,4,3
0.011,0.51,1.7,0.02,0.001,17.25,12.85,2.47,0.094,0,0.02,0,3.18,100,12,4.23,4,3.1
0.006,0.52,1.72,0.02,0.002,17.34,12.87,2.49,0.093,0,0.02,0,3.18,100,12,4.23,4,2.7
0.016,0.47,1.66,0.024,0.011,16.3,10.13,2.11,0.054,0,0.02,0,3.18,100,12,4.23,4,1.2
0.065,0.51,1.54,0.03,0.025,18.39,8.6,0.21,0.078,0,0.02,0,3.18,100,12,4.23,4,1.1
0.058,0.68,1.62,0.02,0.029,20.32,9.16,0.24,0.078,0,0.02,0,3.18,100,12,4.23,4,0.7
0.022,0.32,1.51,0.025,0.004,17.38,10.48,0.24,0.03,0.4,0.02,0,3.18,100,12,4.23,4,2.8
0.028,0.34,1.75,0.03,0.008,18.3,10.42,0.49,0.028,0.41,0.02,0,3.18,100,12,4.23,4,1.6
0.045,0.28,1.6,0.03,0.015,18.3,10.7,0,0.03,0.6,0.02,0,3.18,100,12,4.23,4,2.2
0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.02,0,3.18,100,12,4.23,4,2.5
0.03,0.35,1.7,0.029,0.011,18.28,10.53,0,0.026,0.36,0.02,0,3.18,100,12,4.23,4,0.7
0.015,0.31,1.48,0.017,0.001,18.4,10.4,0.42,0.085,0.36,0.02,0,3.18,100,12,4.23,4,0.9
0.014,0.31,1.21,0.024,0.013,17.12,9.65,0.16,0.066,0.23,0.02,0,3.18,100,12,4.23,4,1.1
0.045,0.54,1.6,0.032,0.007,17.8,9.71,0,0.03,0.67,0.02,0,3.18,100,12,4.23,4,2.5
0.014,0.3,1.64,0.012,0.005,18.44,9.25,0,0.062,0.26,0.02,0,3.18,100,12,4.23,4,0.5
0.025,0.34,1.74,0.033,0.006,18.25,10.77,0,0.022,0.37,0.02,0,3.18,100,12,4.23,4,1
0.049,0.59,1.73,0.024,0.013,17.26,9.41,0.21,0.026,0.61,0.02,0,3.18,100,12,4.23,4,1.9
