C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0.02,0,3.18,100,12,4.23,4,1.1
0.009,0.52,1.73,0.02,0.001,17.3,12.9,2.5,0.099,0,0.02,0,3.18,100,12,4.23,4,2.2
0.03,0.42,1.66,0.024,0.009,17.96,10.46,0,0.024,0.33,0.02,0,3.18,100,12,4.23,4,1.4
0.037,0.63,1.56,0.029,0.001,18,9.67,0.32,0.044,0.61,0.02,0,3.18,100,12,4.23,0.5,0.42
0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0.02,0,3.18,100,12,4.23,0.5,2.3
0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0.036,0.12,3.18,100,12,4.23,0.25,0.2
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0.02,0,12,250,17,1.67,4,3.9
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0.02,0,12,250,17,1.67,0.5,0.38
0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0.02,0,12,250,17,1.67,2,0.3
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0.02,0,12,250,17,1.67,0.2,0.77
0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.137,0,0.02,0.44,12,250,17,1.67,4,4.73
0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0.004,0,3.18,100,12,4.2,1.75,1.97
0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0.002,0,3.18,100,12,4.2,3.75,13.72
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,0.75,0
0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.02,0,3,100,12.5,3.6,2.5,0.06
0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0.02,0.26,3,100,12.5,4.2,1,6.93
0.051,0.5,1.5,0.011,0.002,15.05,15.06,2.25,0.0093,0,0.02,0.32,3,100,12.5,4.2,2,3.53
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,90,13,2.3,0.5,5.74
0.05,0.24,0.77,0.018,0.004,21.65,32.3,0,0.02,0,0.48,0.46,3,120,13,2.7,1,13.77
0.008,0.4,0.38,0.014,0.004,18.04,0.21,0,0.0096,0,0.041,1.06,4,100,10,2.5,0.8,0.1
